ppa_mult,capex_mult,debt_pct,irr,npv,payback_year,min_dscr
0.9,0.9,0.55,0.15076838602194467,1208697.8179543565,1,1.1794185480728931
0.9,0.9,0.65,0.16366288416203179,1251146.2763390136,1,0.9979695406770636
0.9,0.9,0.75,0.18237580516777985,1293594.7347236709,1,0.8649069352534552
0.9,1.0,0.55,0.1341859364191752,1040344.5566823267,1,1.061476693265604
0.9,1.0,0.65,0.14412418965333001,1087509.510443057,1,0.8981725866093573
0.9,1.0,0.75,0.15800118346503642,1134674.4642037866,1,0.7784162417281096
0.9,1.1,0.55,0.12090989362526416,871991.2954102962,1,0.9649788120596398
0.9,1.1,0.65,0.1287211610305169,923872.7445470993,1,0.8165205332812336
0.9,1.1,0.75,0.13928737299519875,975754.193683902,1,0.7076511288437359
0.95,0.9,0.55,0.1612647741017445,1379251.4645927635,1,1.2535727285688432
0.95,0.9,0.65,0.17618242500436426,1421699.92297742,1,1.0607153857120981
0.95,0.9,0.75,0.1983352963484455,1464148.381362077,1,0.9192866676171518
0.95,1.0,0.55,0.14341606211404848,1210898.2033207328,1,1.1282154557119588
0.95,1.0,0.65,0.1549489039598737,1258063.157081463,1,0.9546438471408885
0.95,1.0,0.75,0.17140098204381138,1305228.1108421928,1,0.8273580008554366
0.95,1.1,0.55,0.12914487616542994,1042544.9420487023,1,1.0256504142835987
0.95,1.1,0.65,0.13824183294174436,1094426.3911855055,1,0.8678580428553528
0.95,1.1,0.75,0.15078935006384525,1146307.8403223085,1,0.7521436371413058
1.0,0.9,0.55,0.17189890683377768,1549805.1112311701,1,1.3277269090647934
1.0,0.9,0.65,0.1889883181715796,1592253.569615827,1,1.123461230747133
1.0,0.9,0.75,0.21493419343264394,1634702.0280004838,1,0.9736663999808486
1.0,1.0,0.55,0.1527560460431101,1381451.84995914,1,1.1949542181583142
1.0,1.0,0.65,0.16600364610902132,1428616.8037198698,1,1.0111151076724199
1.0,1.0,0.75,0.18530518234431267,1475781.7574805997,1,0.8762997599827638
1.0,1.1,0.55,0.13746691222776905,1213098.5886871098,1,1.086322016507558
1.0,1.1,0.65,0.14794593955589636,1264980.0378239127,1,0.9191955524294723
1.0,1.1,0.75,0.16268458510017234,1316861.4869607156,1,0.796636145438876
1.05,0.9,0.55,0.18267017157025334,1720358.7578695766,1,1.4018810895607439
1.05,0.9,0.65,0.20207734427151805,1762807.2162542336,1,1.1862070757821679
1.05,0.9,0.75,0.2321670258905876,1805255.6746388907,1,1.0280461323445456
1.05,1.0,0.55,0.16220752707909222,1552005.4965975466,1,1.2616929806046695
1.05,1.0,0.65,0.17729071143698094,1599170.4503582767,1,1.0675863682039513
1.05,1.0,0.75,0.1997241155474254,1646335.4041190064,1,0.925241519110091
1.05,1.1,0.55,0.14587867041727967,1383652.2353255164,1,1.1469936187315175
1.05,1.1,0.65,0.157838092734124,1435533.6844623194,1,0.9705330620035918
1.05,1.1,0.75,0.17498818138326883,1487415.1335991225,1,0.8411286537364463
1.1,0.9,0.55,0.19292749887229968,1884680.7487792415,1,1.476035270056694
1.1,0.9,0.65,0.21544296557358644,1933360.8628926408,1,1.2489529208172028
1.1,0.9,0.75,0.25001702020219335,1975809.3212772976,1,1.0824258647082425
1.1,1.0,0.55,0.17177103271336064,1722559.1432359538,1,1.3284317430510246
1.1,1.0,0.65,0.18881000173403786,1769724.0969966839,1,1.1240576287354827
1.1,1.0,0.75,0.21466106957298056,1816889.0507574137,1,0.9741832782374182
1.1,1.1,0.55,0.1543819811114859,1554205.8819639233,1,1.2076652209554768
1.1,1.1,0.65,0.16792127756115796,1606087.3311007263,1,1.0218705715777112
1.1,1.1,0.75,0.18771132312973743,1657968.7802375292,1,0.8856211620340164
